iter	Logloss
0	0.6865518016
1	0.6814159411
2	0.6747573136
3	0.6705480598
4	0.6641890157
5	0.6565457224
6	0.6507949575
7	0.6461298685
8	0.6430706683
9	0.6372503783
10	0.6315517426
11	0.6280732683
12	0.6229030397
13	0.6195078732
14	0.6155406574
15	0.6116695406
16	0.6065802844
17	0.6013150733
18	0.5985414047
19	0.5935802386
20	0.5915621129
21	0.5890563214
22	0.5866432435
23	0.5822488992
24	0.5785605493
25	0.5755617685
26	0.5718543027
27	0.5697749294
28	0.5646955178
29	0.5617470697
30	0.5587170782
31	0.5552734351
32	0.5530543583
33	0.5504122074
34	0.5476238807
35	0.5439731475
36	0.5409602906
37	0.5373420516
38	0.5347469898
39	0.5315629446
40	0.5274644206
41	0.5247853565
42	0.5231027428
43	0.5205631852
44	0.5181090317
45	0.516657924
46	0.5149715202
47	0.5137626453
48	0.5101750287
49	0.5073740523
50	0.5053705137
51	0.5025768266
52	0.5012826916
53	0.4994748278
54	0.4961657077
55	0.4940956986
56	0.4922262398
57	0.4899243573
58	0.488778565
59	0.4870406363
60	0.4858458412
61	0.4844419592
62	0.4829940418
63	0.481824581
64	0.479704018
65	0.4783329197
66	0.4767932009
67	0.4757232053
68	0.4735443456
69	0.4723585636
70	0.4711647967
71	0.4704375881
72	0.4680720822
73	0.4665849979
74	0.4649403395
75	0.4625309944
76	0.4612271776
77	0.4594761319
78	0.4578820638
79	0.4555483189
80	0.4546217097
81	0.4534768491
82	0.4519258326
83	0.4511365267
84	0.4492217507
85	0.4484233164
86	0.4465819649
87	0.4447799103
88	0.4429557344
89	0.4421801199
90	0.4412266306
91	0.4404041214
92	0.4396491115
93	0.4386838262
94	0.4378726036
95	0.436815559
96	0.4350078142
97	0.4336056185
98	0.432500945
99	0.4310987129
100	0.4296782103
101	0.4288186555
102	0.4276493203
103	0.4266479609
104	0.425871951
105	0.4248905113
106	0.4231073353
107	0.4219455223
108	0.4208205732
109	0.4199472192
110	0.4189209576
111	0.4176919823
112	0.4161439606
113	0.4144544267
114	0.41365936
115	0.4122919365
116	0.411232719
117	0.4104727168
118	0.409765697
119	0.4088968156
120	0.4081496316
121	0.4073041628
122	0.4067569542
123	0.4059134625
124	0.4052521197
125	0.4047214313
126	0.403937562
127	0.4032874963
128	0.4025104587
129	0.400443969
130	0.3998912716
131	0.3990194217
132	0.3981823911
133	0.3970817877
134	0.3962948497
135	0.3953811523
136	0.3941795748
137	0.3933196797
138	0.3925742501
139	0.3919877221
140	0.3911282093
141	0.3904230544
142	0.3890557887
143	0.38835722
144	0.3876025494
145	0.3863905224
146	0.3858663327
147	0.3850186947
148	0.3838936583
149	0.3832023527
150	0.3823436371
151	0.3816216659
152	0.3808051385
153	0.3801995402
154	0.3793440864
155	0.378857591
156	0.3781216802
157	0.3773724372
158	0.3759201069
159	0.3750027889
160	0.3742846041
161	0.3735430837
162	0.3728694262
163	0.3719749969
164	0.3714446591
165	0.3706253207
166	0.3700079819
167	0.3692681651
168	0.3679626549
169	0.3673679107
170	0.3667415011
171	0.36602625
172	0.3653046202
173	0.3641740173
174	0.363397293
175	0.3625727014
176	0.3616134496
177	0.3610621393
178	0.3603313537
179	0.3599553711
180	0.3593384057
181	0.3589324047
182	0.3577219842
183	0.3571402427
184	0.3562159166
185	0.3550181302
186	0.3543685631
187	0.3537628559
188	0.3532033401
189	0.3527185575
190	0.3520910484
191	0.3507658618
192	0.3502053101
193	0.3498276397
194	0.3494040327
195	0.3485749161
196	0.3477593404
197	0.3471087868
198	0.3465254116
199	0.3459816739
200	0.3457717677
201	0.3453779921
202	0.3448049731
203	0.3443056765
204	0.3435323861
205	0.3429754257
206	0.3423245925
207	0.3417345784
208	0.3413863296
209	0.3407726271
210	0.3400090872
211	0.3393756842
212	0.3381342829
213	0.3375352911
214	0.3367345513
215	0.3362418087
216	0.3348887522
217	0.334352386
218	0.3339377738
219	0.3331204955
220	0.3323324677
221	0.3318197156
222	0.3314284436
223	0.3310353795
224	0.3303882973
225	0.3298336709
226	0.3291610676
227	0.3287247383
228	0.3280526292
229	0.3277648779
230	0.3270598532
231	0.3266299267
232	0.326129915
233	0.3253588324
234	0.3247605411
235	0.3243837846
236	0.323589857
237	0.322877496
238	0.3224001368
239	0.3217801551
240	0.3212890816
241	0.3206902871
242	0.3197310174
243	0.3190056167
244	0.3185451104
245	0.3175204167
246	0.3171536987
247	0.316702814
248	0.3160546319
249	0.3156718473
250	0.3154034382
251	0.3149750685
252	0.31462629
253	0.3139963705
254	0.3130808472
255	0.3125249867
256	0.311629464
257	0.3112688189
258	0.3106029495
259	0.3099317109
260	0.3095230753
261	0.3089313303
262	0.3085558083
263	0.3078815267
264	0.3073889814
265	0.3067850628
266	0.3058207299
267	0.3051103046
268	0.3047538947
269	0.3041587699
270	0.3037036556
271	0.3031690094
272	0.3026575882
273	0.3022712433
274	0.3018575767
275	0.3014336283
276	0.3010023293
277	0.3006932772
278	0.3002258586
279	0.3000479757
280	0.2994595793
281	0.2989628493
282	0.2985234958
283	0.2980724371
284	0.2975906659
285	0.2965776183
286	0.2962067364
287	0.2957872012
288	0.2952509422
289	0.2946936555
290	0.2943388531
291	0.2938542656
292	0.2931750739
293	0.2923327111
294	0.2917984377
295	0.2911914895
296	0.2907650309
297	0.2899552502
298	0.2892929039
299	0.2889145226
300	0.2882968038
301	0.2874130558
302	0.2864883332
303	0.2861615948
304	0.2856632422
305	0.2852606657
306	0.2848835566
307	0.284416216
308	0.2840565409
309	0.2835541635
310	0.2830083664
311	0.2825486235
312	0.2823589061
313	0.2817533269
314	0.2809371037
315	0.2805592907
316	0.2802083057
317	0.279846968
318	0.2792921224
319	0.2789236775
320	0.2784151113
321	0.2781134586
322	0.2774658423
323	0.2768201623
324	0.2764561996
325	0.276078475
326	0.2757646428
327	0.2752615972
328	0.2747783145
329	0.2743820643
330	0.2738973366
331	0.2736798341
332	0.2732923971
333	0.2729941161
334	0.2725272806
335	0.2721550351
336	0.2719713058
337	0.2713217053
338	0.2710311798
339	0.2706932918
340	0.2702870249
341	0.269551247
342	0.2691773348
343	0.2686960686
344	0.26834379
345	0.2681220066
346	0.2677592191
347	0.2671920041
348	0.2665981289
349	0.2664328791
350	0.2660045647
351	0.2658169401
352	0.2654958305
353	0.2650765098
354	0.2647730782
355	0.2642353313
356	0.2636661241
357	0.263318261
358	0.2629234223
359	0.2625737491
360	0.2623465163
361	0.2621501186
362	0.2616943281
363	0.2612780953
364	0.2608088663
365	0.2605251093
366	0.2599999024
367	0.2594409842
368	0.2591639744
369	0.2584144961
370	0.2581420413
371	0.2577340826
372	0.2572355197
373	0.2568566202
374	0.2564494963
375	0.2559814912
376	0.2555809533
377	0.2550388455
378	0.2546969586
379	0.2543993125
380	0.2537009452
381	0.2532710431
382	0.2529034568
383	0.2525998235
384	0.2519502114
385	0.2516804401
386	0.2513438893
387	0.2509169849
388	0.2505975194
389	0.2503122718
390	0.249981506
391	0.2494660711
392	0.2491589547
393	0.2487663017
394	0.2480792508
395	0.2477512035
396	0.2474853183
397	0.247224116
398	0.2467804488
399	0.2466198551
400	0.2462575422
401	0.2459913322
402	0.2457398596
403	0.2454623514
404	0.2452186752
405	0.2447049762
406	0.244465285
407	0.2441229452
408	0.2438197889
409	0.2432569601
410	0.2429777887
411	0.2426713225
412	0.2423983115
413	0.2420254571
414	0.2415881498
415	0.2410850223
416	0.2407780952
417	0.2404739769
418	0.2400906474
419	0.23972612
420	0.2392541775
421	0.2390154626
422	0.2387806893
423	0.2385126525
424	0.2382637241
425	0.2379912569
426	0.2377369922
427	0.2372282121
428	0.2368083279
429	0.2363334855
430	0.2361425577
431	0.2358190256
432	0.2354559859
433	0.2350431292
434	0.234574366
435	0.2343550546
436	0.2341367718
437	0.2339123505
438	0.233610528
439	0.2331481719
440	0.2329246497
441	0.2324947297
442	0.2322019317
443	0.2318460823
444	0.2314681221
445	0.2311214228
446	0.2309042006
447	0.2305639259
448	0.2302796359
449	0.2300337295
450	0.2297941711
451	0.2294975725
452	0.2289841891
453	0.2288044865
454	0.228404453
455	0.227814322
456	0.2273774297
457	0.2271369285
458	0.2266667012
459	0.2265007389
460	0.2261948213
461	0.2259036496
462	0.2256637531
463	0.2253466962
464	0.2251556329
465	0.2248582804
466	0.2245425368
467	0.2242396359
468	0.2237661608
469	0.2235958822
470	0.2230379396
471	0.2227327959
472	0.2224003881
473	0.2221741977
474	0.2217866137
475	0.2215113819
476	0.2213002914
477	0.2210564289
478	0.220732157
479	0.220530467
480	0.2202766494
481	0.2200639735
482	0.2197957395
483	0.2195556653
484	0.2192624736
485	0.218927355
486	0.2186604771
487	0.2184328908
488	0.2181048012
489	0.2177511902
490	0.2173359399
491	0.2169227134
492	0.2166572439
493	0.2162581292
494	0.2158787002
495	0.2156005801
496	0.2154078014
497	0.21506685
498	0.2147442814
499	0.2144942045
500	0.214224299
501	0.2138601163
502	0.2134901829
503	0.2132470814
504	0.2130566534
505	0.2128825849
506	0.2124993371
507	0.2122834005
508	0.2119828508
509	0.211773472
510	0.2112971814
511	0.2110169407
512	0.2102514349
513	0.2097792363
514	0.209500778
515	0.2091015015
516	0.2087973197
517	0.2084850515
518	0.208228559
519	0.2079429963
520	0.2075547038
521	0.2072019995
522	0.2067950948
523	0.2063398255
524	0.2062019297
525	0.205913632
526	0.2052739715
527	0.2050130327
528	0.2046006909
529	0.2043077792
530	0.2041230447
531	0.2037781656
532	0.203547478
533	0.2031956249
534	0.2029724455
535	0.2026530113
536	0.2023774526
537	0.2021131436
538	0.2019357456
539	0.2016392889
540	0.2014769535
541	0.2013267281
542	0.2010419593
543	0.20089012
544	0.2006141976
545	0.2003403026
546	0.2002230948
547	0.1999434696
548	0.1997190018
549	0.1993566348
550	0.1990956117
551	0.1988849972
552	0.1986112823
553	0.1981535363
554	0.1977545661
555	0.1974705576
556	0.1971958757
557	0.196999858
558	0.1967942512
559	0.1965693234
560	0.1962693093
561	0.1960754102
562	0.1957276944
563	0.1954476511
564	0.1952026034
565	0.1949222249
566	0.1946037403
567	0.1943859574
568	0.1941226661
569	0.1940031582
570	0.1937106455
571	0.193472568
572	0.1931557574
573	0.1928269158
574	0.1923968376
575	0.1921552493
576	0.1918632957
577	0.1916590665
578	0.1914263535
579	0.1911854016
580	0.1909392662
581	0.1905856346
582	0.1903071503
583	0.1899771157
584	0.1897335182
585	0.189471606
586	0.1889569384
587	0.1887341423
588	0.1885535402
589	0.1883077815
590	0.1881946681
591	0.1880322503
592	0.1877400885
593	0.187459081
594	0.1870977753
595	0.1867899311
596	0.1865189714
597	0.1863088459
598	0.1860404488
599	0.1858310324
600	0.1855491607
601	0.1853369597
602	0.1850625801
603	0.1848622823
604	0.1847593996
605	0.1845299547
606	0.1843608841
607	0.1839746167
608	0.183726136
609	0.1834856483
610	0.1831229469
611	0.1829543138
612	0.1827739836
613	0.1825552069
614	0.1822313746
615	0.1820559648
616	0.1818396159
617	0.1815992881
618	0.1814465446
